,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM
752,2002,NJN,Tamar Slay,Marshall University,3.0,66,517,173,70,31,0,0.265,0.5379999999999999,7.8,2.6,1.1,0.5,-0.3,-0.028999999999999998,-6.0,-0.5
753,2002,DAL,Mladen Sekularac,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,2002,SAS,Luis Scola,,9.0,707,18540,8698,4802,1157,0,0.33899999999999997,0.742,26.2,12.3,6.8,1.6,44.9,0.11599999999999999,-0.5,7.2
755,2002,SAS,Randy Holcomb,San Diego State University,1.0,4,11,2,1,0,1,0.0,0.0,2.8,0.5,0.3,0.0,0.0,0.15,-1.8,0.0
756,2002,SAC,Corsley Edwards,Central Connecticut State University,1.0,10,110,27,25,3,0,0.0,0.583,11.0,2.7,2.5,0.3,0.1,0.026000000000000002,-5.2,-0.1
757,2003,CLE,LeBron James,,13.0,987,38478,26833,7067,6815,0,0.34,0.7440000000000001,39.0,27.2,7.2,6.9,192.5,0.24,9.2,108.6
758,2003,DET,Darko Milicic,,10.0,468,8638,2813,1971,405,0,0.0,0.574,18.5,6.0,4.2,0.9,7.1,0.04,-1.6,0.8
759,2003,DEN,Carmelo Anthony,Syracuse University,13.0,902,32796,22497,5993,2844,0,0.344,0.812,36.4,24.9,6.6,3.2,92.3,0.135,1.5,28.6
760,2003,TOR,Chris Bosh,Georgia Institute of Technology,13.0,893,31936,17189,7592,1795,0,0.335,0.799,35.8,19.2,8.5,2.0,106.0,0.159,1.4,27.5
761,2003,MIA,Dwyane Wade,Marquette University,13.0,855,30560,20221,4126,4944,0,0.284,0.767,35.7,23.7,4.8,5.8,113.8,0.179,5.3,56.4
762,2003,LAC,Chris Kaman,Central Michigan University,13.0,735,19642,8208,5582,921,0,0.042,0.743,26.7,11.2,7.6,1.3,24.6,0.06,-2.0,0.0
763,2003,CHI,Kirk Hinrich,University of Kansas,13.0,879,27015,9594,2576,4245,0,0.375,0.8,30.7,10.9,2.9,4.8,52.5,0.09300000000000001,0.2,14.7
764,2003,MIL,T.J. Ford,University of Texas at Austin,8.0,429,11882,4797,1331,2495,0,0.289,0.815,27.7,11.2,3.1,5.8,16.9,0.068,-0.8,3.6
765,2003,NYK,Mike Sweetney,Georgetown University,4.0,233,3610,1516,1045,145,0,0.0,0.6890000000000001,15.5,6.5,4.5,0.6,7.8,0.10300000000000001,-2.1,-0.1
766,2003,WAS,Jarvis Hayes,University of Georgia,7.0,427,9898,3553,1330,459,0,0.35600000000000004,0.7979999999999999,23.2,8.3,3.1,1.1,10.2,0.049,-2.9,-2.2
767,2003,GSW,Mickael Pietrus,,10.0,557,11950,4629,1723,445,0,0.355,0.665,21.5,8.3,3.1,0.8,19.7,0.079,-0.9,3.4
768,2003,SEA,Nick Collison,University of Kansas,12.0,875,18400,5295,4650,923,0,0.21,0.727,21.0,6.1,5.3,1.1,44.0,0.115,0.5,11.4
769,2003,MEM,Marcus Banks,"University of Nevada, Las Vegas",8.0,348,5571,2061,519,728,0,0.327,0.768,16.0,5.9,1.5,2.1,6.6,0.057,-2.4,-0.6
770,2003,SEA,Luke Ridnour,University of Oregon,12.0,830,21623,7740,1877,3713,0,0.349,0.862,26.1,9.3,2.3,4.5,36.0,0.08,-0.9,5.8
771,2003,ORL,Reece Gaines,University of Louisville,3.0,71,605,123,53,50,0,0.26899999999999996,0.606,8.5,1.7,0.7,0.7,-0.6,-0.049,-7.7,-0.9
772,2003,BOS,Troy Bell,Boston College,1.0,6,34,11,4,4,0,0.0,1.0,5.7,1.8,0.7,0.7,-0.2,-0.326,-14.4,-0.1
773,2003,PHO,Zarko Cabarkapa,,3.0,150,1550,640,312,85,0,0.273,0.733,10.3,4.3,2.1,0.6,1.1,0.035,-5.2,-1.3
774,2003,NOH,David West,Xavier University,13.0,893,27291,13223,6149,1984,0,0.256,0.8190000000000001,30.6,14.8,6.9,2.2,79.7,0.14,1.4,23.6
775,2003,UTA,Sasha Pavlovic,,10.0,567,8888,2787,1000,517,0,0.34600000000000003,0.6729999999999999,15.7,4.9,1.8,0.9,7.0,0.038,-3.4,-3.2
776,2003,BOS,Dahntay Jones,Duke University,12.0,623,9787,3344,1080,528,0,0.331,0.7509999999999999,15.7,5.4,1.7,0.8,9.9,0.048,-3.6,-4.1
777,2003,ATL,Boris Diaw,,13.0,991,27485,8801,4476,3514,0,0.342,0.716,27.7,8.9,4.5,3.5,50.5,0.08800000000000001,0.9,19.8
778,2003,NJN,Zoran Planinic,,3.0,148,1584,561,198,165,0,0.289,0.677,10.7,3.8,1.3,1.1,1.5,0.046,-4.2,-0.9
779,2003,POR,Travis Outlaw,,11.0,622,13026,5273,1974,514,0,0.337,0.7440000000000001,20.9,8.5,3.2,0.8,16.5,0.061,-2.3,-0.9
780,2003,LAL,Brian Cook,University of Illinois at Urbana-Champaign,9.0,421,5649,2312,1115,252,0,0.382,0.7829999999999999,13.4,5.5,2.6,0.6,10.2,0.086,-2.4,-0.6
781,2003,DET,Carlos Delfino,,8.0,507,11580,4115,1815,887,0,0.365,0.758,22.8,8.1,3.6,1.7,22.5,0.09300000000000001,0.8,8.1
782,2003,MIN,Ndudi Ebi,,2.0,19,86,40,19,4,0,0.0,0.462,4.5,2.1,1.0,0.2,0.1,0.051,-5.4,-0.1
783,2003,MEM,Kendrick Perkins,,13.0,781,17147,4211,4531,811,0,0.0,0.594,22.0,5.4,5.8,1.0,27.9,0.078,-0.4,7.0
784,2003,SAS,Leandro Barbosa,,13.0,783,17423,8616,1616,1694,0,0.38799999999999996,0.8190000000000001,22.3,11.0,2.1,2.2,36.8,0.10099999999999999,-0.2,7.9
785,2003,DAL,Josh Howard,Wake Forest University,10.0,507,15350,7270,2886,817,0,0.332,0.77,30.3,14.3,5.7,1.6,38.0,0.11900000000000001,0.6,10.3
788,2003,NYK,Maciej Lampe,,3.0,64,632,215,142,22,0,0.25,0.6759999999999999,9.9,3.4,2.2,0.3,-0.2,-0.013999999999999999,-8.7,-1.1
789,2003,CLE,Jason Kapono,"University of California, Los Angeles",9.0,509,9068,3398,844,417,0,0.434,0.835,17.8,6.7,1.7,0.8,10.3,0.055,-3.0,-2.3
790,2003,LAL,Luke Walton,University of Arizona,10.0,564,9685,2649,1588,1317,0,0.326,0.715,17.2,4.7,2.8,2.3,13.5,0.067,-1.2,1.9
791,2003,MIA,Jerome Beasley,University of North Dakota,1.0,2,5,2,1,0,0,0.0,0.0,2.5,1.0,0.5,0.0,0.0,-0.11699999999999999,-22.4,0.0
792,2003,LAC,Sofoklis Schortsanitis,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
793,2003,MIL,Szymon Szewczyk,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
794,2003,CHI,Mario Austin,Mississippi State University,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795,2003,ATL,Travis Hansen,Brigham Young University,1.0,41,507,123,70,19,0,0.3,0.815,12.4,3.0,1.7,0.5,0.2,0.019,-5.0,-0.4
796,2003,WAS,Steve Blake,University of Maryland,13.0,870,20823,5662,1816,3446,0,0.38299999999999995,0.779,23.9,6.5,2.1,4.0,29.1,0.067,-1.8,1.3
797,2003,NYK,Slavko Vranes,,1.0,1,3,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.371,-21.4,0.0
798,2003,GSW,Derrick Zimmerman,Mississippi State University,1.0,2,32,4,4,7,0,0.0,0.0,16.0,2.0,2.0,3.5,0.0,0.004,-9.7,-0.1
799,2003,SEA,Willie Green,University of Detroit Mercy,12.0,731,14783,6059,1303,1018,0,0.34600000000000003,0.765,20.2,8.3,1.8,1.4,12.9,0.042,-3.6,-5.9
800,2003,ORL,Zaza Pachulia,,13.0,891,19122,6348,5319,1101,0,0.0,0.746,21.5,7.1,6.0,1.2,42.4,0.106,-0.6,6.9
801,2003,MIL,Keith Bogans,University of Kentucky,11.0,671,14527,4257,1817,866,0,0.353,0.716,21.6,6.3,2.7,1.3,20.4,0.068,-0.8,4.5
